# Value  before after
0.0 13.0 13.0
0.01 9.0 11.0
0.02 27.0 36.0
0.03 26.0 25.0
0.04 21.0 28.0
0.05 22.0 10.0
0.06 5.0 6.0
0.07 5.0 1.0
0.08 3.0 3.0
0.09 3.0 1.0
