# Value  before after
0.01 1.0 1.0
0.03 3.0 3.0
0.04 2.0 2.0
0.05 0.0 3.0
0.06 0.0 3.0
0.07 1.0 6.0
0.08 4.0 75.0
0.09 2.0 6.0
0.1 5.0 45.0
0.11 3.0 0.0
0.12 6.0 0.0
0.13 4.0 1.0
0.15 11.0 0.0
0.17 102.0 0.0
0.2 1.0 0.0
