# Value  before after
0.43 1.0 0.0
0.52 2.0 0.0
0.53 1.0 0.0
0.58 1.0 1.0
0.65 1.0 1.0
0.67 1.0 1.0
0.69 1.0 1.0
0.72 0.0 1.0
0.74 0.0 1.0
0.75 2.0 0.0
0.76 0.0 1.0
0.78 0.0 1.0
0.81 1.0 0.0
0.86 1.0 0.0
0.87 1.0 0.0
0.91 1.0 0.0
0.96 0.0 1.0
0.97 1.0 0.0
1.01 1.0 0.0
1.06 1.0 0.0
1.07 2.0 0.0
1.08 1.0 0.0
1.09 1.0 0.0
1.12 1.0 0.0
1.14 1.0 0.0
1.19 0.0 1.0
1.2 1.0 0.0
1.27 1.0 0.0
1.31 0.0 1.0
1.33 1.0 0.0
1.41 0.0 1.0
1.44 1.0 0.0
1.5 3.0 0.0
1.7 0.0 1.0
3.54 0.0 1.0
4.0 1.0 0.0
4.65 0.0 1.0
4.66 0.0 1.0
5.39 0.0 1.0
6.46 0.0 1.0
8.93 0.0 1.0
17.18 0.0 1.0
17.75 0.0 1.0
31.33 0.0 1.0
32.24 0.0 1.0
37.17 0.0 1.0
37.21 0.0 1.0
43.3 0.0 1.0
44.25 0.0 1.0
47.18 0.0 1.0
72.95 0.0 1.0
182.0 0.0 1.0
415.5 0.0 1.0
